Prepared-Dataset, Finished-Date, Created-By, Description
final_990.csv, 2020-08-11, JonathanOribello, Prepared using Nextflow-https://github.com/J-81/dataset_prep_nf/releases/tag/v0.1.0
scopDataset_v1.csv, 2020-08-12, JonathanOribello, Prepared using Nextflow-https://github.com/J-81/dataset_prep_nf/releases/tag/v0.1.0
